# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
5S_rRNA	ENSG00000285609	ENST00000648701		0	0	0	11	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
A3GALT2	ENSG00000184389	ENST00000442999	protein_coding	0	0	1	37	0	0	0	0	0	0	0	4	0	27	1	0	0	0	0	0	0	0	0	0	0	0	6
AADACL3	ENSG00000188984	ENST00000359318	protein_coding	0	1	2	62	9	0	0	0	0	0	0	16	0	25	2	0	0	0	0	0	0	0	0	0	0	1	12
AADACL3	ENSG00000188984	ENST00000620146	processed_transcript	0	0	0	65	0	0	0	0	0	0	0	16	0	25	0	12	0	0	0	0	0	0	0	0	0	0	12
AADACL4	ENSG00000204518	ENST00000376221	protein_coding	0	3	0	96	0	2	3	0	0	0	0	8	0	64	0	0	0	0	0	0	0	0	0	0	0	1	21
ABCA4	ENSG00000198691	ENST00000370225	protein_coding	0	10	2	455	0	0	0	0	0	0	0	26	0	412	2	0	0	0	0	3	0	0	0	0	0	8	19
ABCA4	ENSG00000198691	ENST00000460514	processed_transcript	0	0	0	42	0	0	0	0	0	0	0	22	0	10	0	0	0	0	0	0	0	0	0	0	0	0	10
ABCA4	ENSG00000198691	ENST00000465352	processed_transcript	0	0	0	151	0	0	0	0	0	0	0	37	0	70	0	8	0	0	0	0	0	0	0	0	0	0	36
ABCA4	ENSG00000198691	ENST00000470771	processed_transcript	0	0	0	33	0	0	0	0	0	0	0	23	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
ABCA4	ENSG00000198691	ENST00000472033	processed_transcript	0	0	0	23	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	15
ABCA4	ENSG00000198691	ENST00000484388	processed_transcript	0	0	0	103	0	0	0	0	0	0	0	50	0	14	0	1	0	0	0	0	0	0	0	0	0	0	38
ABCA4	ENSG00000198691	ENST00000649773	protein_coding	0	1	1	219	0	0	0	0	0	0	0	12	0	188	1	0	0	0	0	0	0	0	0	0	0	1	19
ABCB10	ENSG00000135776	ENST00000344517	protein_coding	0	2	1	87	5	0	0	0	0	0	0	8	0	66	1	0	0	0	0	1	0	0	0	0	0	1	9
ABCB10	ENSG00000135776	ENST00000486755	processed_transcript	0	0	0	30	0	0	0	0	0	0	0	9	0	7	0	0	0	0	0	0	0	0	0	0	0	0	14
ABCB10	ENSG00000135776	ENST00000498158	processed_transcript	0	0	0	26	0	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	15
ABCD3	ENSG00000117528	ENST00000315713	protein_coding	0	0	0	37	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	3
ABCD3	ENSG00000117528	ENST00000370214	protein_coding	0	0	0	72	4	0	0	0	0	0	0	4	0	61	0	0	0	0	0	0	0	0	0	0	0	0	3
ABCD3	ENSG00000117528	ENST00000464165	processed_transcript	0	0	0	18	0	0	0	0	0	0	0	4	0	3	0	6	0	0	0	0	0	0	0	0	0	0	5
ABCD3	ENSG00000117528	ENST00000468860	processed_transcript	0	0	0	35	0	0	0	0	0	0	0	1	0	33	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCD3	ENSG00000117528	ENST00000484213	processed_transcript	0	0	0	35	0	0	0	0	0	0	0	4	0	27	0	4	0	0	0	0	0	0	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000493416	processed_transcript	0	0	0	6	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCD3	ENSG00000117528	ENST00000647998	protein_coding	0	0	0	72	4	0	0	0	0	0	0	4	0	61	0	0	0	0	0	0	0	0	0	0	0	0	3
ABHD17AP1	ENSG00000198658	ENST00000358206	unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP3	ENSG00000250536	ENST00000503096	unprocessed_pseudogene	0	0	0	22	0	0	0	0	0	0	0	9	0	2	0	4	0	0	0	0	0	0	0	0	0	0	7
ABL2	ENSG00000143322	ENST00000344730	protein_coding	0	1	1	106	3	0	0	0	0	0	0	13	0	78	1	0	0	0	0	0	0	0	0	0	0	1	12
ABL2	ENSG00000143322	ENST00000367623	protein_coding	0	1	0	249	0	0	0	0	0	0	0	9	0	228	0	0	0	0	0	0	0	0	0	0	0	1	12
ABL2	ENSG00000143322	ENST00000392043	protein_coding	0	1	0	242	0	0	1	0	0	0	0	4	0	226	0	0	0	0	0	0	0	0	0	0	0	1	11
ABL2	ENSG00000143322	ENST00000502732	protein_coding	0	1	0	264	16	0	1	0	0	0	0	8	0	228	0	0	0	0	0	0	0	0	0	0	0	1	11
ABL2	ENSG00000143322	ENST00000504324	retained_intron	0	0	0	87	0	0	0	0	0	0	0	14	0	58	0	3	0	0	0	0	0	0	0	0	0	0	12
ABL2	ENSG00000143322	ENST00000504405	protein_coding	0	1	1	99	0	0	0	0	0	0	0	9	0	78	1	0	0	0	0	0	0	0	0	0	0	1	12
ABL2	ENSG00000143322	ENST00000507173	protein_coding	0	1	0	249	0	0	0	0	0	0	0	9	0	228	0	0	0	0	0	0	0	0	0	0	0	1	12
ABL2	ENSG00000143322	ENST00000508127	retained_intron	0	0	0	48	0	0	0	0	0	0	0	14	0	21	0	1	0	0	0	0	0	0	0	0	0	0	12
ABL2	ENSG00000143322	ENST00000509520	retained_intron	0	0	0	87	0	0	0	0	0	0	0	14	0	58	0	3	0	0	0	0	0	0	0	0	0	0	12
ABL2	ENSG00000143322	ENST00000511413	protein_coding	0	1	0	249	0	0	0	0	0	0	0	9	0	228	0	0	0	0	0	0	0	0	0	0	0	1	12
ABL2	ENSG00000143322	ENST00000512653	protein_coding	0	1	1	100	0	0	0	0	0	0	0	10	0	78	1	0	0	0	0	0	0	0	0	0	0	1	12
ABL2	ENSG00000143322	ENST00000659126	retained_intron	0	1	0	30	0	0	0	0	0	0	0	13	0	2	0	1	0	0	0	1	0	0	0	0	0	0	15
ABL2	ENSG00000143322	ENST00000660584	retained_intron	0	0	0	197	0	0	0	0	0	0	0	13	0	169	0	3	0	0	0	0	0	0	0	0	0	0	12
